sensor_id,date,avg_t1,avg_t2,avg_t3,avg_moist,X,Y,Common_Name
95321211,2024-03-27,23.567708333333332,25.625,26.0546875,1610.375,-80.27989,25.72282,Coconut palm
95321211,2024-03-28,23.422526041666668,25.083333333333332,25.738932291666668,1814.5625,-80.27989,25.72282,Coconut palm
95321211,2024-03-29,22.055338541666668,22.18359375,22.225911458333332,1782.3854166666667,-80.27989,25.72282,Coconut palm
95321211,2024-03-30,21.514973958333332,21.498697916666668,21.577473958333332,1763.9479166666667,-80.27989,25.72282,Coconut palm
95321211,2024-03-31,21.431640625,21.694010416666668,21.875,1747.7083333333333,-80.27989,25.72282,Coconut palm
95321211,2024-04-01,21.968098958333332,23.15625,23.350260416666668,1701.15625,-80.27989,25.72282,Coconut palm
95321211,2024-04-02,22.880208333333332,24.011067708333332,24.25,1698.125,-80.27989,25.72282,Coconut palm
95321211,2024-04-03,23.885416666666668,26.12890625,26.548828125,1670.1875,-80.27989,25.72282,Coconut palm
95321211,2024-04-04,23.45703125,23.568359375,23.9375,1899.875,-80.27989,25.72282,Coconut palm
95321211,2024-04-05,21.047526041666668,21.141276041666668,21.388671875,1898.8541666666667,-80.27989,25.72282,Coconut palm
95321211,2024-04-06,20.425130208333332,20.553385416666668,20.902994791666668,1828.09375,-80.27989,25.72282,Coconut palm
95321211,2024-04-07,20.73046875,21.169270833333332,21.545572916666668,1797.6875,-80.27989,25.72282,Coconut palm
95321211,2024-04-08,21.055338541666668,22.028645833333332,22.360677083333332,1731.875,-80.27989,25.72282,Coconut palm
95321211,2024-04-09,21.44140625,22.647786458333332,23.286458333333332,1713.71875,-80.27989,25.72282,Coconut palm
95321211,2024-04-10,22.194661458333332,24.119140625,24.569010416666668,1666.6041666666667,-80.27989,25.72282,Coconut palm
95321211,2024-04-11,23.492838541666668,25.406901041666668,25.954427083333332,1666.78125,-80.27989,25.72282,Coconut palm
95321211,2024-04-12,23.540364583333332,24.656901041666668,24.844401041666668,1623.7708333333333,-80.27989,25.72282,Coconut palm
95321211,2024-04-13,21.736979166666668,21.860677083333332,22.167317708333332,1600.0104166666667,-80.27989,25.72282,Coconut palm
95321211,2024-04-14,21.297526041666668,21.619140625,21.934895833333332,1608.2395833333333,-80.27989,25.72282,Coconut palm
95321211,2024-04-15,21.307942708333332,21.977213541666668,22.139973958333332,1569.75,-80.27989,25.72282,Coconut palm
95321211,2024-04-16,21.966796875,23.080729166666668,23.633463541666668,1577.09375,-80.27989,25.72282,Coconut palm
95321211,2024-04-17,22.454427083333332,23.701822916666668,24.2734375,1600.21875,-80.27989,25.72282,Coconut palm
95321211,2024-04-18,22.55078125,23.55078125,24.046875,1617.4375,-80.27989,25.72282,Coconut palm
95321211,2024-04-19,23.0859375,24.302734375,24.563802083333332,1572.71875,-80.27989,25.72282,Coconut palm
95321211,2024-04-20,23.212890625,23.951171875,24.223958333333332,1577.7083333333333,-80.27989,25.72282,Coconut palm
95321211,2024-04-21,23.506510416666668,24.688802083333332,25.200520833333332,1593.4895833333333,-80.27989,25.72282,Coconut palm
95321211,2024-04-22,23.255208333333332,23.611979166666668,23.848307291666668,1756.2708333333333,-80.27989,25.72282,Coconut palm
95321211,2024-04-23,21.66015625,22.007161458333332,22.464192708333332,2143.4895833333335,-80.27989,25.72282,Coconut palm
95321211,2024-04-24,21.283854166666668,21.813802083333332,22.354166666666668,2032.9479166666667,-80.27989,25.72282,Coconut palm
95321211,2024-04-25,21.373697916666668,22.232421875,22.724609375,1938.875,-80.27989,25.72282,Coconut palm
95321211,2024-04-26,21.799479166666668,22.860677083333332,23.1875,1841.78125,-80.27989,25.72282,Coconut palm
95321211,2024-04-27,22.25,23.798828125,24.377604166666668,1761.6666666666667,-80.27989,25.72282,Coconut palm
95321211,2024-04-28,22.689453125,24.222005208333332,24.528645833333332,1697.2395833333333,-80.27989,25.72282,Coconut palm
95321211,2024-04-29,22.900390625,24.3125,24.603515625,1640.5625,-80.27989,25.72282,Coconut palm
95321211,2024-04-30,23.122395833333332,23.779296875,23.968098958333332,1870.9479166666667,-80.27989,25.72282,Coconut palm
95321211,2024-05-01,23.405598958333332,24.108072916666668,24.333984375,2107.4270833333335,-80.27989,25.72282,Coconut palm
95321211,2024-05-02,23.80078125,25.141276041666668,25.604166666666668,2019.3229166666667,-80.27989,25.72282,Coconut palm
95321211,2024-05-03,23.729817708333332,24.844401041666668,25.248046875,2088.0208333333335,-80.27989,25.72282,Coconut palm
95321211,2024-05-04,23.837890625,25.141276041666668,25.646484375,2034.8645833333333,-80.27989,25.72282,Coconut palm
95321211,2024-05-05,24.039713541666668,25.454427083333332,25.876302083333332,1909.78125,-80.27989,25.72282,Coconut palm
95321211,2024-05-06,24.217447916666668,25.688151041666668,26.046875,1810.0625,-80.27989,25.72282,Coconut palm
95321211,2024-05-07,24.592447916666668,26.154947916666668,26.442708333333332,1730.7708333333333,-80.27989,25.72282,Coconut palm
95321211,2024-05-08,25.083333333333332,26.668619791666668,26.892578125,1660.2395833333333,-80.27989,25.72282,Coconut palm
95321211,2024-05-09,25.33984375,26.934244791666668,27.126302083333332,1600.15625,-80.27989,25.72282,Coconut palm
95321211,2024-05-10,25.4609375,27.083333333333332,27.239583333333332,1561.6666666666667,-80.27989,25.72282,Coconut palm
95321211,2024-05-11,26.029296875,28.08984375,28.302083333333332,1529.03125,-80.27989,25.72282,Coconut palm
95321211,2024-05-12,26.318359375,27.633463541666668,27.635416666666668,1498.96875,-80.27989,25.72282,Coconut palm
